variant,split,force_mae,force_rmse,force_flat_r2,force_mean_per_step_r2,energy_mae,energy_rmse,energy_r2
baseline_h512_mean_sum,train,0.8184175491333008,1.431887149810791,0.9880100741210424,0.981422538883734,0.0155620267614722,0.0209763888269662,0.9966328794081138
baseline_h512_mean_sum,val,1.2695953845977783,2.05022406578064,0.9785745070232008,0.9564446015011278,0.038120798766613,0.0522005893290042,0.9795353488604036
baseline_h512_mean_sum,test,0.8920052647590637,1.583929181098938,0.9807325919044964,0.9645246297052976,0.0205693058669567,0.0301192756742239,0.9877310692424988
neighbor_only,train,0.781697154045105,1.399367332458496,0.98854850093382,0.9831854910080814,0.0161340553313493,0.0215718783438205,0.9964389902173434
neighbor_only,val,1.4577369689941406,2.465427875518799,0.969017762413018,0.933464525908727,0.0504324920475482,0.0761290192604065,0.9564734732802558
neighbor_only,test,0.9026546478271484,1.6473429203033447,0.9791589405850952,0.9631631118723336,0.0192161966115236,0.028644660487771,0.988903013895996
rank_only,train,0.8040286898612976,1.419822096824646,0.9882112773248586,0.9826157219859918,0.0153881562873721,0.0200221296399831,0.9969322655928952
rank_only,val,1.3202134370803833,2.157352924346924,0.9762769510859276,0.9517711971664944,0.0416979566216468,0.0590990781784057,0.9737689944678254
rank_only,test,0.8690363764762878,1.6021021604537964,0.9802879340980366,0.9661424144645104,0.0201085861772298,0.0274645555764436,0.9897985286319656
v2_compact,train,0.863775908946991,1.5227969884872437,0.9864392749751312,0.9799735183442372,0.0209279917180538,0.0279181767255067,0.994035537592702
v2_compact,val,1.4935308694839478,2.542166233062744,0.9670590548604904,0.9277558335778366,0.0526992306113243,0.0820629894733429,0.949423569917834
v2_compact,test,0.9322360157966614,1.692965388298035,0.9779885873487958,0.961116654417165,0.0213774796575307,0.0302938055247068,0.9875884697661198
